Program Name,County,City,Address,Phone,Program Type,Population Served,Insurance accepted,Services offered,Website
Didi Hirsch POP - Culver City,Los Angeles,Culver City,"4760 S Sepulveda Blvd, Culver City, CA 90230",(800) 854-7771,Psychiatric Outpatient,Adults,Medi-Cal; Medicare; Private,"Individual therapy, Medication management, Case management",https://didihirsch.org
Didi Hirsch POP - Inglewood,Los Angeles,Inglewood,"10100 Prairie Ave, Inglewood, CA 90303",(800) 854-7771,Psychiatric Outpatient,Adults; Older Adults,Medi-Cal; Medicare; Private,"Individual therapy, Group therapy, Medication management",https://didihirsch.org
Exodus Recovery Outpatient,Los Angeles,Los Angeles,"10630 S Western Ave, Los Angeles, CA 90047",(310) 673-1101,Psychiatric Outpatient; SUD,Adults,Medi-Cal,"Dual diagnosis, Medication management, Peer support",https://exodusrecovery.com
Pacific Clinics - Arcadia,Los Angeles,Arcadia,"1560 Corporate Center Dr, Arcadia, CA 91006",(626) 254-5000,Psychiatric Outpatient,Adults; Youth,Medi-Cal; Medicare; Private,"Individual therapy, Psychiatric evaluation, Medication management",https://pacificclinics.org
Pacific Clinics - Pomona,Los Angeles,Pomona,"1651 Monte Vista Ave, Pomona, CA 91767",(909) 596-3743,Psychiatric Outpatient,Adults; Youth,Medi-Cal; Medicare,"Individual therapy, Group therapy, Medication management",https://pacificclinics.org
LACDMH - Hollywood Mental Health Center,Los Angeles,Los Angeles,"6000 Cahuengua Blvd, Los Angeles, CA 90028",(323) 957-4100,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Case management",https://dmh.lacounty.gov
LACDMH - Glendale Mental Health Center,Los Angeles,Glendale,"625 N Central Ave, Glendale, CA 91203",(818) 246-4737,Psychiatric Outpatient,Adults; Older Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Group therapy",https://dmh.lacounty.gov
LACDMH - El Monte Mental Health Center,Los Angeles,El Monte,"4280 Temple City Blvd, El Monte, CA 91731",(626) 350-0790,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Case management",https://dmh.lacounty.gov
Kedren Community Mental Health Center,Los Angeles,Los Angeles,"4211 S Avalon Blvd, Los Angeles, CA 90011",(323) 233-0425,Psychiatric Outpatient,Adults; Youth,Medi-Cal; Medicare; Sliding Scale,"Psychiatric evaluation, Therapy, Medication management",https://kedrenhealth.com
NAMI Los Angeles Outpatient,Los Angeles,Los Angeles,"1515 S Westgate Ave, Los Angeles, CA 90025",(310) 889-7200,Psychiatric Outpatient; Peer Support,Adults,Medi-Cal; Private; Sliding Scale,"Peer support, Education, Group therapy",https://namica.org
Sharp Mesa Vista - Outpatient,San Diego,San Diego,"7850 Vista Hill Ave, San Diego, CA 92123",(858) 836-8000,Psychiatric Outpatient,Adults; Older Adults,Medicare; Medi-Cal; Private,"Psychiatric evaluation, IOP, Medication management",https://sharp.com
San Diego County Behavioral Health - North Coastal,San Diego,Oceanside,"162 aviara Pkwy, Carlsbad, CA 92011",(800) 479-3339,Psychiatric Outpatient,Adults; Youth,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Group therapy",https://sdbehavioralhealth.org
Exodus Recovery - San Diego,San Diego,San Diego,"3434 Murphy Canyon Rd, San Diego, CA 92123",(619) 287-6300,Psychiatric Outpatient; SUD,Adults,Medi-Cal,"Dual diagnosis, Medication management, Peer support",https://exodusrecovery.com
Vista Hill Foundation,San Diego,Chula Vista,"3900 Spring St, Spring Valley, CA 91977",(619) 460-8380,Psychiatric Outpatient,Adults; Youth; Families,Medi-Cal; Private,"Individual therapy, Group therapy, Medication management",https://vistahill.org
UCSD Outpatient Psychiatric Services,San Diego,San Diego,"7920 Frost St, San Diego, CA 92123",(858) 657-7000,Psychiatric Outpatient,Adults,Medicare; Private; Medi-Cal,"Psychiatric evaluation, Medication management, Therapy",https://health.ucsd.edu
Alameda County BHS - East County,Alameda,San Leandro,"2000 Davis St, San Leandro, CA 94577",(510) 618-2000,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Case management",https://acbhcs.org
Alameda County BHS - Oakland,Alameda,Oakland,"1900 Fruitvale Ave, Oakland, CA 94601",(510) 567-8100,Psychiatric Outpatient,Adults; Youth,Medi-Cal; Medicare,"Psychiatric evaluation, Group therapy, Medication management",https://acbhcs.org
La Clinica de La Raza - Behavioral Health,Alameda,Oakland,"1515 Fruitvale Ave, Oakland, CA 94601",(510) 534-5070,Psychiatric Outpatient,Adults; Youth; Families,Medi-Cal; Sliding Scale,"Individual therapy, Psychiatric evaluation, Medication management",https://laclinica.org
LifeLong Medical Care - Behavioral Health,Alameda,Berkeley,"2001 Dwight Way, Berkeley, CA 94704",(510) 981-4100,Psychiatric Outpatient,Adults; Older Adults,Medi-Cal; Medicare; Sliding Scale,"Individual therapy, Medication management, Case management",https://lifelongmedical.org
Telecare - Alameda County,Alameda,Oakland,"7901 Edgewater Dr, Oakland, CA 94621",(510) 777-1200,Psychiatric Outpatient,Adults,Medi-Cal,"Psychiatric evaluation, Medication management, Peer support",https://telecarecorp.com
Sacramento County BHS - Downtown,Sacramento,Sacramento,"7001 A East Parkway, Sacramento, CA 95823",(916) 875-1055,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Group therapy",https://dhhs.saccounty.net
Wellspace Health - Behavioral Health,Sacramento,Sacramento,"1820 J St, Sacramento, CA 95811",(916) 454-5555,Psychiatric Outpatient,Adults; Youth,Medi-Cal; Sliding Scale,"Individual therapy, Psychiatric evaluation, Medication management",https://wellspacehealth.org
UC Davis Health - Outpatient Psychiatry,Sacramento,Sacramento,"2230 Stockton Blvd, Sacramento, CA 95817",(916) 734-3574,Psychiatric Outpatient,Adults,Medicare; Private; Medi-Cal,"Psychiatric evaluation, Medication management, Therapy",https://health.ucdavis.edu
Sutter Center for Psychiatry - Outpatient,Sacramento,Sacramento,"7700 Folsom Blvd, Sacramento, CA 95826",(916) 386-3000,Psychiatric Outpatient,Adults; Older Adults,Medicare; Private; Medi-Cal,"Psychiatric evaluation, IOP, Medication management",https://sutterhealth.org
Fresno County BHS - Central,Fresno,Fresno,"4441 E Kings Canyon Rd, Fresno, CA 93702",(559) 600-3840,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Case management",https://fresnobehavioralhealth.org
Valley Behavioral Health - Fresno,Fresno,Fresno,"3715 N First St, Fresno, CA 93726",(559) 225-4900,Psychiatric Outpatient,Adults; Older Adults,Medi-Cal; Medicare; Private,"Individual therapy, Group therapy, Medication management",https://valleybhs.com
Clinica Sierra Vista - Behavioral Health,Kern,Bakersfield,"5251 Office Park Dr, Bakersfield, CA 93309",(661) 635-3050,Psychiatric Outpatient,Adults; Youth,Medi-Cal; Sliding Scale,"Individual therapy, Psychiatric evaluation, Medication management",https://clinicasierravista.org
Kern County Mental Health - Central,Kern,Bakersfield,"3300 Manor Dr, Bakersfield, CA 93308",(661) 868-6400,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Group therapy",https://kernbehavioralhealth.com
SF DPH - Adult Behavioral Health Access,San Francisco,San Francisco,"1380 Howard St, San Francisco, CA 94103",(415) 255-3737,Psychiatric Outpatient,Adults,Medi-Cal; Medicare; Uninsured,"Psychiatric evaluation, Medication management, Case management",https://sfdph.org
SF DPH - Child & Adolescent Services,San Francisco,San Francisco,"1001 Potrero Ave, San Francisco, CA 94110",(415) 206-8917,Psychiatric Outpatient,Youth; Families,Medi-Cal; Uninsured,"Psychiatric evaluation, Individual therapy, Family therapy",https://sfdph.org
Westside Community Services,San Francisco,San Francisco,"1153 Oak St, San Francisco, CA 94117",(415) 431-9000,Psychiatric Outpatient,Adults,Medi-Cal; Sliding Scale,"Individual therapy, Psychiatric evaluation, Peer support",https://westsidecommunityservices.org
Contra Costa BHS - Martinez,Contra Costa,Martinez,"1340 Arnold Dr, Martinez, CA 94553",(925) 957-5150,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Case management",https://cchealth.org
Contra Costa BHS - West County,Contra Costa,Richmond,"2000 Macdonald Ave, Richmond, CA 94801",(510) 374-3280,Psychiatric Outpatient,Adults; Youth,Medi-Cal; Medicare,"Psychiatric evaluation, Group therapy, Medication management",https://cchealth.org
Santa Clara Valley Health - Behavioral Health,Santa Clara,San Jose,"976 Lenzen Ave, San Jose, CA 95126",(408) 885-7800,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Group therapy",https://bhsd.sccgov.org
Momentum for Health,Santa Clara,San Jose,"130 N Morrison Ave, San Jose, CA 95126",(408) 294-0400,Psychiatric Outpatient,Adults,Medi-Cal; Medicare; Sliding Scale,"Individual therapy, Medication management, Peer support",https://momentumforhealth.org
Ventura County BHS - East County,Ventura,Simi Valley,"3585 E Los Angeles Ave, Simi Valley, CA 93063",(805) 581-6813,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Case management",https://vcbh.org
