Hospital,County,City,Address,Phone,Bed Count,Program Type,Population Served,Insurance Accepted,Accreditation,Website
Atascadero State Hospital,San Luis Obispo,Atascadero,"10333 El Camino Real, Atascadero, CA 93422",(805) 468-2000,1275,Forensic Psychiatric; Long-Term Care,Adults (Forensic),Medi-Cal; State Funded,CDPH; DSH,https://www.dsh.ca.gov/atascadero
Coalinga State Hospital,Fresno,Coalinga,"24511 W Jayne Ave, Coalinga, CA 93210",(559) 935-4900,1500,Forensic Psychiatric; SVP Treatment,Adults (Forensic; SVP),State Funded,CDPH; DSH,https://www.dsh.ca.gov/coalinga
Metropolitan State Hospital,Los Angeles,Norwalk,"11401 Bloomfield Ave, Norwalk, CA 90650",(562) 863-7011,704,Acute Psychiatric; Long-Term Care,Adults,Medi-Cal; State Funded,CDPH; DSH,https://www.dsh.ca.gov/metropolitan
Napa State Hospital,Napa,Napa,"2100 Napa-Vallejo Hwy, Napa, CA 94558",(707) 253-5000,1281,Acute Psychiatric; Forensic; Long-Term Care,Adults,Medi-Cal; State Funded,CDPH; DSH,https://www.dsh.ca.gov/napa
Patton State Hospital,San Bernardino,Patton,"3102 E Highland Ave, Patton, CA 92369",(909) 425-7000,1478,Forensic Psychiatric; Long-Term Care,Adults (Forensic),Medi-Cal; State Funded,CDPH; DSH,https://www.dsh.ca.gov/patton
UCLA Resnick Neuropsychiatric Hospital,Los Angeles,Los Angeles,"150 Medical Plaza Driveway, Los Angeles, CA 90095",(310) 825-9989,74,Acute Psychiatric; Child & Adolescent; Geriatric,Adults; Youth; Older Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://www.uclahealth.org/resnick
UCSF Medical Center - Psychiatric Unit,San Francisco,San Francisco,"401 Parnassus Ave, San Francisco, CA 94143",(415) 476-1000,30,Acute Psychiatric,Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://www.ucsfhealth.org
UC Davis Medical Center - Psychiatry,Sacramento,Sacramento,"2315 Stockton Blvd, Sacramento, CA 95817",(916) 734-2011,45,Acute Psychiatric; Child & Adolescent,Adults; Youth,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://health.ucdavis.edu
Stanford Hospital - Psychiatry,Santa Clara,Palo Alto,"300 Pasteur Dr, Palo Alto, CA 94304",(650) 723-4000,60,Acute Psychiatric; Geriatric,Adults; Older Adults,Medicare; Private; Medi-Cal,Joint Commission; CDPH,https://stanfordhealthcare.org
UCSD Medical Center - Psychiatric Unit,San Diego,San Diego,"200 W Arbor Dr, San Diego, CA 92103",(619) 543-6400,35,Acute Psychiatric,Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://health.ucsd.edu
Cedars-Sinai Medical Center - Psychiatry,Los Angeles,Los Angeles,"8700 Beverly Blvd, Los Angeles, CA 90048",(310) 423-3277,40,Acute Psychiatric; Geriatric,Adults; Older Adults,Medicare; Private; Medi-Cal,Joint Commission; CDPH,https://www.cedars-sinai.org
Sharp Mesa Vista Hospital,San Diego,San Diego,"7850 Vista Hill Ave, San Diego, CA 92123",(858) 836-8000,163,Acute Psychiatric; Dual Diagnosis; Geriatric,Adults; Older Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://www.sharp.com/mesa-vista
Aurora Behavioral Health Care - Tempe,Los Angeles,Glendale,"1161 E Covina Blvd, San Dimas, CA 91773",(909) 599-7677,90,Acute Psychiatric; Dual Diagnosis,Adults; Youth,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://www.aurorabehavioral.com
Aurora Vista Del Mar Hospital,Ventura,Ventura,"801 Seneca St, Ventura, CA 93001",(805) 653-6434,87,Acute Psychiatric; Child & Adolescent; Dual Diagnosis,Adults; Youth,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://www.aurorabehavioral.com
Behavioral Health Center of Sutter Health,Sacramento,Sacramento,"7700 Folsom Blvd, Sacramento, CA 95826",(916) 386-3000,70,Acute Psychiatric; Dual Diagnosis,Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://www.sutterhealth.org
Adventist Health Behavioral Health,Tulare,Tulare,"869 Cherry Lane, San Jose, CA 95125",(559) 688-3011,50,Acute Psychiatric; Dual Diagnosis,Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://www.adventisthealth.org
Dignity Health - St. Francis Behavioral Health,San Francisco,San Francisco,"900 Hyde St, San Francisco, CA 94109",(415) 353-6300,38,Acute Psychiatric; Geriatric,Adults; Older Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://www.dignityhealth.org
Providence Saint John's Behavioral Health,Los Angeles,Santa Monica,"2121 Santa Monica Blvd, Santa Monica, CA 90404",(310) 829-5511,35,Acute Psychiatric,Adults; Older Adults,Medicare; Private,Joint Commission; CDPH,https://www.providence.org
Loma Linda University Behavioral Medicine Center,San Bernardino,Redlands,"1710 Barton Rd, Redlands, CA 92373",(909) 558-9275,87,Acute Psychiatric; Child & Adolescent; Dual Diagnosis,Adults; Youth,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://lluh.org/bmc
Riverside University Health System - Psychiatric Hospital,Riverside,Moreno Valley,"26520 Cactus Ave, Moreno Valley, CA 92555",(951) 486-6000,148,Acute Psychiatric; Forensic,Adults,Medi-Cal; Medicare,Joint Commission; CDPH,https://www.ruhealth.org
San Bernardino County - Desert Regional Psychiatric,San Bernardino,Palm Springs,"1150 N Indian Canyon Dr, Palm Springs, CA 92262",(760) 323-6511,80,Acute Psychiatric,Adults,Medi-Cal; Medicare,CDPH,https://www.sbcounty.gov/dbh
Laguna Honda Hospital - Behavioral Health,San Francisco,San Francisco,"375 Laguna Honda Blvd, San Francisco, CA 94116",(415) 759-3900,100,Long-Term Care; Geriatric Psychiatry,Older Adults,Medi-Cal; Medicare,Joint Commission; CDPH,https://zuckerbergsanfranciscogeneral.org
Olive View - UCLA Medical Center Psychiatry,Los Angeles,Sylmar,"14445 Olive View Dr, Sylmar, CA 91342",(818) 364-1511,52,Acute Psychiatric,Adults,Medi-Cal; Medicare,Joint Commission; CDPH,https://dhs.lacounty.gov/olive-view
Harbor-UCLA Medical Center - Psychiatry,Los Angeles,Torrance,"1000 W Carson St, Torrance, CA 90502",(310) 222-2345,60,Acute Psychiatric; Forensic,Adults,Medi-Cal; Medicare,Joint Commission; CDPH,https://dhs.lacounty.gov/harbor-ucla
